label;Anzahl_global;cluster;centroid;ID
#1;5;0;;1
#2016;1;0;;2
#2A;4;0;;3
#60Minutes;1;0;;4
#ADA;1;0;;5
#AIDSFreeGeneration;1;0;;6
#AIPAC2016;1;0;;7
#ALConvention2016;1;0;;8
#APAHM;1;0;;9
#AZ;1;0;;10
#AZPrimary;3;0;;11
#ActOnClimate;2;0;;12
#AlwaysTrump;2;0;;13
#AmericaFIRST;1;0;;14
#AmericaFirst;61;0;;15
#AmericaGreatAgain;1;0;;16
#AmericanSamoa;1;0;;17
#Arizona;1;0;;18
#ArizonaPrimary;2;0;;19
#ArmedForcesDay;1;0;;20
#ArmyBDay;1;0;;21
#AsLongAsItTakes;1;0;;22
#Benghazi;1;0;;23
#BikersForTrump;1;0;;24
#BlackMenForBernie;1;0;;25
#BlackWomensEqualPay;1;0;;26
#BlacksForTrump;1;0;;27
#Brexit;1;0;;28
#BrexitVote;4;0;;29
#Brussels;1;0;;30
#BuildTheWall;1;0;;31
#Bush;1;0;;32
#CA4Trump;1;0;;33
#CAPrimary;2;0;;34
#CBNNews;1;0;;35
#CNN;1;0;;36
#CTPrimary;1;0;;37
#Caribbean;1;0;;38
#Carrier;1;0;;39
#CaucusForTrump;8;0;;40
#ChangeAgents;1;0;;41
#Charleston9;1;0;;42
#CincoDeMayo;1;0;;43
#CitizensUnited;2;0;;44
#Clinton;1;0;;45
#ClintonKaine;2;0;;46
#CoastGuardDay;1;0;;47
#Colbert;1;0;;48
#CommanderInChiefForum;1;0;;49
#CommonCore;1;0;;50
#CommonLaw;1;0;;51
#CreatorsAskHRC;2;0;;52
#CripTheVote;1;0;;53
#CrookedHillary;14;0;;54
#Cruz;1;0;;55
#CruzFraud;1;0;;56
#DACA;1;0;;57
#DDay;2;0;;58
#DEPrimary;1;0;;59
#DNC;1;4;4;60
#DNCinPHL;1;0;;61
#DavidCameron;1;0;;62
#Debate;1;0;;63
#DebateNight;33;0;;64
#Debates2016;14;0;;65
#Decision2016;1;0;;66
#DeclareYourAmbition;1;0;;67
#DefendtheSecond;1;0;;68
#DemConvention;14;0;;69
#DemPlatform;4;0;;70
#DemocraticSitIn;1;0;;71
#DemsInPHL;3;0;;72
#DemsInPhilly;51;0;;73
#DemsinPHL;1;0;;74
#DemsinPhilly;2;0;;75
#Derp;1;0;;76
#DisarmHate;3;0;;77
#DivoDeJuarez;1;0;;78
#Diwali;1;0;;79
#Donald;1;0;;80
#DonaldTrump;1;0;;81
#ECONOMY;1;0;;82
#EarthDay;1;0;;83
#EastVillage;1;0;;84
#EauClaire;1;0;;85
#ElectionDay;1;0;;86
#Elkhart;1;0;;87
#EndCommonCore;1;0;;88
#EndGunViolence;1;0;;89
#Enjoy;1;0;;90
#Enough;1;0;;91
#EstoyConElla;2;0;;92
#Excellent;1;0;;93
#FAIL;1;0;;94
#FITN;24;0;;95
#FNS;1;0;;96
#FallonTonight;1;0;;97
#FeelTheBern;1;0;;98
#FightForFamilies;3;0;;99
#Filibuster;1;0;;100
#FirstInPOTUS;1;0;;101
#FlashbackFriday;1;0;;102
#Ford;1;0;;103
#Fox;1;0;;104
#FoxNews;3;0;;105
#Frozen;1;0;;106
#GIBill;1;0;;107
#GO;1;0;;108
#GOP;2;0;;109
#GOPConvention;4;0;;110
#GOPDebate;20;0;;111
#GOPdebate;1;0;;112
#GOPinCLE;1;0;;113
#GPLFers;1;0;;114
#GoldenGlobe;1;0;;115
#GoodTrouble;1;0;;116
#Greta;1;0;;117
#GunViolence;1;0;;118
#HRC4PA;1;0;;119
#HaileyPuckett;1;0;;120
#Hannity;3;0;;121
#HarveyPitt;1;0;;122
#Hillary2016;1;0;;123
#HillaryClinton;1;0;;124
#HillaryKaine2016;1;0;;125
#HillaryOnCNN;1;0;;126
#HillaryOnGMA;1;0;;127
#HispanicHeritageMonth;1;0;;128
#HistoryMade;1;0;;129
#HoustonFlood;1;0;;130
#IACaucus;15;0;;131
#IAPolitics;1;0;;132
#ICYMI;5;0;;133
#INDPrimary;1;0;;134
#INPrimary;10;0;;135
#ISIS;1;0;;136
#ImWithHer;18;0;;137
#ImWithHernandez;1;0;;138
#ImWithYou;48;0;;139
#Imwithyou;2;0;;140
#Indiana;1;0;;141
#InternationalNursesDay;1;0;;142
#Iowa;1;0;;143
#IowaCaucus;2;0;;144
#IranDeal;1;0;;145
#JimmyFallon;1;0;;146
#Jobs;1;0;;147
#JohnRyder;1;0;;148
#Jonas;1;0;;149
#JuanGabriel;1;0;;150
#JuntosSePuede;1;0;;151
#KansasCaucus;1;0;;152
#KenLangone;1;0;;153
#KentuckyDerby;1;0;;154
#KhizrKhan;1;0;;155
#LAflood;1;0;;156
#LESM;5;0;;157
#LGBT;2;0;;158
#LSSC;2;0;;159
#LaborDay;2;0;;160
#LaudatoSi;1;0;;161
#Laurence;1;0;;162
#LaurenceTribe;1;0;;163
#LawandOrder;2;0;;164
#LeadRight2016;1;0;;165
#LibrarianOfCongress;1;0;;166
#LightweightSenatorMarcoRubio;1;0;;167
#LittleMarco;1;0;;168
#LoneStarState;1;0;;169
#LoveTrumpsHate;6;0;;170
#LyingTed;2;0;;171
#MAGA;58;0;;172
#MAKEAMERICAGREATAGAIN;3;0;;173
#MDPrimary;1;0;;174
#MDW;1;0;;175
#MSM;1;0;;176
#MSNBCTownhall;2;0;;177
#MSPrimary;1;0;;178
#MadeForHistory;1;0;;179
#MadeInAmerica;1;0;;180
#Mahalo;1;0;;181
#MaitnerStrong;1;0;;182
#MakeAmericaGreatAgain;216;0;;183
#MakeAmericaSafeAgain;3;2;2;184
#MakeYoutubeGreatAgain;1;0;;185
#MaryBrigidMcManamon;2;0;;186
#MattSchlapp;1;0;;187
#MayDay;1;0;;188
#Mediafraud;1;0;;189
#MeetTheTrumps;1;0;;190
#MegynKellyPresents;1;0;;191
