Source;Target
173;347
65;205
15;172
15;133
133;172
172;330
1;330
15;64
64;133
64;172
15;65
65;172
23;65
23;64
64;65
64;145
65;312
64;325
247;280
65;247
65;280
172;328
5;133
5;53
53;133
15;173
146;310
310;311
310;325
146;311
146;325
311;325
94;202
157;172
15;328
173;348
133;348
15;155
133;173
150;252
78;252
78;150
223;326
25;118
25;27
27;118
15;325
28;172
31;118
172;325
8;172
133;328
133;156
173;338
3;86
68;86
86;223
3;68
3;223
68;223
3;277
223;277
172;223
280;295
54;325
239;304
251;304
239;251
69;133
172;323
201;347
157;173
69;75
172;296
75;206
91;133
158;250
75;79
75;292
75;133
75;158
46;133
257;321
173;257
173;321
206;285
257;326
15;257
110;116
15;116
15;110
110;257
33;44
133;314
94;133
54;133
241;291
222;284
15;314
15;156
133;364
54;314
172;314
45;313
118;280
22;118
118;229
118;231
22;280
229;280
231;280
22;229
22;231
229;231
77;280
77;89
89;280
129;229
129;231
108;229
107;346
91;242
94;242
91;94
269;314
87;247
173;247
87;173
328;349
34;173
314;429
172;314
173;314
33;296
221;296
33;221
190;314
173;328
3;314
194;201
41;194
41;201
3;278
242;348
288;362
314;348
216;314
216;320
314;320
145;173
109;173
109;145
135;348
135;314
135;173
56;75
56;174
56;243
56;253
75;174
75;243
75;253
174;243
174;253
243;253
243;348
253;348
109;232
314;328
118;249
127;296
228;232
228;348
232;348
247;314
247;356
247;248
314;356
248;314
248;356
133;314
133;356
145;248
232;328
173;356
247;314
247;314
247;247
232;314
228;314
173;314
173;225
314;428
172;428
173;428
328;428
359;428
251;363
85;251
251;314
251;428
251;328
85;363
314;363
363;428
328;363
85;314
85;428
85;328
328;428
348;428
173;428
171;220
314;364
328;364
345;346
173;345
314;345
173;346
314;346
19;22
19;173
19;314
22;173
22;314
22;348
19;348
345;348
346;348
17;348
22;345
22;346
17;22
19;345
19;346
17;19
17;345
17;346
314;363
318;343
198;318
318;346
318;344
198;343
343;346
343;344
198;346
198;344
344;346
22;340
173;295
295;314
295;348
88;314
172;329
294;314
152;173
152;314
112;328
153;217
104;153
104;217
94;246
205;314
205;348
8;314
8;328
173;289
158;295
158;173
112;173
173;314
219;355
314;324
133;314
118;314
24;355
314;355
173;277
173;236
277;357
173;357
314;357
277;314
48;159
172;303
103;313
39;313
147;313
193;313
39;103
103;147
103;193
39;147
39;193
147;193
95;228
95;354
228;354
173;354
95;173
112;293
112;271
271;293
118;173
95;226
226;354
95;228
95;314
228;314
173;347
40;131
131;173
131;314
112;131
105;195
195;266
105;266
131;348
95;348
95;131
149;227
227;228
149;228
364;364
173;364
313;364
173;364
313;364
173;313
173;428
314;428
254;314
51;173
173;206
173;306
51;206
51;306
206;306
55;173
156;306
85;314
85;173
2;40
105;314
144;348
132;348
132;314
131;132
95;132
157;314
105;173
32;270
57;365
