"name","anzahl_global","cluster","centroid"
"#MegynKellyPresents",1,3,""
"#taxplan",1,3,""
"#smallbiz",2,3,""
"#MSM",1,3,""
"#WakeUpAmerica",2,3,""
"#TurnUpToVote",1,3,""
"#CrookedHillary",14,3,""
"#AlwaysTrump",2,3,""
"#Trump",8,3,""
"#dtmag",1,3,""
"#NYCPride",1,3,""
"#INDPrimary",1,3,""
"#imwithyou",1,3,""
"#Enjoy",1,3,""
"#DemPlatform",4,3,""
"#ORPrimary",1,3,""
"#MadeInAmerica",1,3,""
"#BrexitVote",4,3,""
"#DemocraticSitIn",1,3,""
"#TrumpinEverett",1,3,""
"#SB50",1,3,""
"#LittleMarco",1,3,""
"#KansasCaucus",1,3,""
"#POTUS",7,3,""
"#Turkey",1,3,""
"#LoveTrumpsHate",6,3,""
"#CreatorsAskHRC",2,3,""
"#UPUPUP",1,3,""
"#VoterRegistrationDay",1,3,""
"#DemsInPhilly",51,1,""
"#Pulse",1,3,""
"#StrongerTogether",7,3,""
"#WestVirginia",1,3,""
"#PurpleHeartDay",1,3,""
"#WomensEqualityDay",4,3,""
"#USMC2016",1,3,""
"#RosanellEaton",1,3,""
"#TeamUSA",1,3,""
"#WHD",1,3,""
"#WORK",1,3,""
"#AmericaFirst",61,3,""
"#StandWithLouisiana",1,3,""
"#Brexit",1,3,""
"#RNCwithBernie",1,3,""
"#Hannity",3,3,""
"#VoteTrumpNH",7,3,""
"#NPS100",2,3,""
"#iRegistered",1,3,""
"#brexit",1,3,""
"#ClintonKaine",2,3,""
"#NationalVoterRegistrationDay",7,3,""
"#BuildTheWall",1,3,""
"#WeTrumpHate",1,3,""
"#CoastGuardDay",1,3,""
"#TrumpWon",2,3,""
"#SheWon",5,3,""
"#PhilandoCastile",1,3,""
"#election2016",1,3,""
"#Debate",1,3,""
"#NeverHillary",6,3,""
"#ugpride2016",1,3,""
"#MikePence",1,3,""
"#WheresHillary",1,3,""
"#NBCNewsForum",12,3,""
"#DemsinPhilly",2,3,""
"#LibrarianOfCongress",1,3,""
"#KenLangone",1,3,""
"#NeilCavuto",1,3,""
"#Fox",1,3,""
"#OnTheRecord",1,3,""
"#NewHampshire",1,3,""
"#ECONOMY",1,3,""
"#FAIL",1,3,""
"#Politician",1,3,""
"#NASCAR",1,3,""
"#RobotRubio",1,3,""
"#StopCommonCore",1,3,""
"#primary",1,3,""
"#JohnRyder",1,3,""
"#TrumpDallas",1,3,""
"#NetNeutrality",1,3,""
"#TitleIX",1,3,""
"#Clinton",1,3,""
"#Trump360",1,3,""
"#Filibuster",1,3,""
"#gunviolence",1,3,""
"#AsLongAsItTakes",1,3,""
"#EauClaire",1,3,""
"#Indiana",1,3,""
"#sitin",2,3,""
"#EndGunViolence",1,3,""
"#FlashbackFriday",1,3,""
"#ImWithHernandez",1,3,""
"#sendDonaldtospace",1,3,""
"#AIDSFreeGeneration",1,3,""
"#MAGA",58,4,""
"#StopGunViolence",3,3,""
"#NeverTrump",3,3,""
"#Srebrenica",1,3,""
"#GIBill",1,3,""
"#veterans",1,3,""
"#MoreInCommon",1,3,""
"#Imwithyou",2,3,""
"#womancard",1,3,""
"#DisarmHate",3,3,""
"#WorldRefugeeDay",1,3,""
"#WashingtonDC",1,3,""
"#Statehood",1,3,""
"#LaudatoSi",1,3,""
"#presidenttrump",1,3,""
"#AZ",1,3,""
"#Diwali",1,3,""
"#BlackWomensEqualPay",1,3,""
"#LAflood",1,3,""
"#VirWINia",2,3,""
"#RestoreTheVRA",2,3,""
"#Frozen",1,3,""
"#RollCallVote",2,3,""
"#DNC",1,3,""
"#LawandOrder",2,3,""
"#LaborDay",2,3,""
"#IranDeal",1,3,""
