"name1","name2","aehnlichkeit"
"#TheTonightShow","#VoterRegistrationDay","1.0"
"#MyTeacherIsWeird","#VoterRegistrationDay","1.0"
"#FallonTonight","#VoterRegistrationDay","1.0"
"#HispanicHeritageMonth","#VoterRegistrationDay","1.0"
"#NPS100","#VoterRegistrationDay","1.0"
"#iRegistered","#VoterRegistrationDay","1.0"
"#brexit","#VoterRegistrationDay","1.0"
"#ClintonKaine","#VoterRegistrationDay","1.0"
"#LibrarianOfCongress","#VoterRegistrationDay","1.0"
"#NationalVoterRegistrationDay","#VoterRegistrationDay","1.0"
"#BuildTheWall","#VoterRegistrationDay","1.0"
"#TrumpWon","#VoterRegistrationDay","1.0"
"#SheWon","#VoterRegistrationDay","1.0"
"#PhilandoCastile","#VoterRegistrationDay","1.0"
"#election2016","#VoterRegistrationDay","1.0"
"#NeverHillary","#VoterRegistrationDay","1.0"
"#ugpride2016","#VoterRegistrationDay","1.0"
"#MikePence","#VoterRegistrationDay","1.0"
"#Diwali","#VoterRegistrationDay","1.0"
"#BlackWomensEqualPay","#VoterRegistrationDay","1.0"
"#LAflood","#VoterRegistrationDay","1.0"
"#VirWINia","#VoterRegistrationDay","1.0"
"#RestoreTheVRA","#VoterRegistrationDay","1.0"
"#TeamUSA","#VoterRegistrationDay","1.0"
"#OpeningCeremony","#VoterRegistrationDay","1.0"
"#Rio2016","#VoterRegistrationDay","1.0"
"#Benghazi","#VoterRegistrationDay","1.0"
"#1","#VoterRegistrationDay","1.0"
"#CommanderInChiefForum","#VoterRegistrationDay","1.0"
"#ISIS","#VoterRegistrationDay","1.0"
"#DemsinPhilly","#VoterRegistrationDay","1.0"
"#StandWithLouisiana","#VoterRegistrationDay","1.0"
"#LESM","#VoterRegistrationDay","1.0"
"#NABJNAHJ16","#VoterRegistrationDay","1.0"
"#JuntosSePuede","#VoterRegistrationDay","1.0"
"#NBCNewsForum","#VoterRegistrationDay","1.0"
"#RosanellEaton","#VoterRegistrationDay","1.0"
"#CoastGuardDay","#VoterRegistrationDay","1.0"
"#Debate","#VoterRegistrationDay","1.0"
"#media","#VoterRegistrationDay","1.0"
"#Frozen","#VoterRegistrationDay","1.0"
"#RollCallVote","#VoterRegistrationDay","1.0"
"#RNCwithBernie","#VoterRegistrationDay","1.0"
"#DNC","#VoterRegistrationDay","1.0"
"#LawandOrder","#VoterRegistrationDay","1.0"
"#LaborDay","#VoterRegistrationDay","1.0"
"#IranDeal","#VoterRegistrationDay","1.0"
"#Obamacare","#VoterRegistrationDay","1.0"
"#TeamTrump","#VoterRegistrationDay","1.0"
"#DACA","#VoterRegistrationDay","1.0"
"#extremevetting","#VoterRegistrationDay","1.0"
"#TrumpPence2016","#VoterRegistrationDay","1.0"
"#TPP","#VoterRegistrationDay","1.0"
"#ALConvention2016","#VoterRegistrationDay","1.0"
"#debatenight","#VoterRegistrationDay","1.0"
"#USA","#VoterRegistrationDay","1.0"
"#debate","#VoterRegistrationDay","1.0"
"#TrumpTrain","#VoterRegistrationDay","1.0"
"#enough","#VoterRegistrationDay","1.0"
"#DemsInPhilly","#VoterRegistrationDay","1.0"
"#StrongerTogether","#VoterRegistrationDay","1.0"
"#MakeAmericaSafeAgain","#VoterRegistrationDay","1.0"
"#Pulse","#VoterRegistrationDay","1.0"
"#TrumpinEverett","#VoterRegistrationDay","1.0"
"#TrumpMovement","#VoterRegistrationDay","1.0"
"#Polls","#VoterRegistrationDay","1.0"
"#slipping","#VoterRegistrationDay","1.0"
"#RNCINCLE","#VoterRegistrationDay","1.0"
"#ElectionDay","#VoterRegistrationDay","1.0"
"#DebateNight","#VoterRegistrationDay","1.0"
"#Debates2016","#VoterRegistrationDay","1.0"
"#RIP","#VoterRegistrationDay","1.0"
"#JuanGabriel","#VoterRegistrationDay","1.0"
"#DivoDeJuarez","#VoterRegistrationDay","1.0"
"#DeclareYourAmbition","#VoterRegistrationDay","1.0"
"#OpioidAwarenessWeek","#VoterRegistrationDay","1.0"
"#DefendtheSecond","#VoterRegistrationDay","1.0"
"#GoodTrouble","#VoterRegistrationDay","1.0"
"#SCOTUS","#VoterRegistrationDay","1.0"
"#ADA","#VoterRegistrationDay","1.0"
"#imwithher","#VoterRegistrationDay","1.0"
"#CripTheVote","#VoterRegistrationDay","1.0"
"#TerenceCrutcher","#VoterRegistrationDay","1.0"
"#UNGA","#VoterRegistrationDay","1.0"
"#LGBT","#VoterRegistrationDay","1.0"
"#2A","#VoterRegistrationDay","1.0"
"#DemsinPHL","#VoterRegistrationDay","1.0"
"#RNCInCLE","#VoterRegistrationDay","1.0"
"#BlackMenForBernie","#VoterRegistrationDay","1.0"
"#polls","#VoterRegistrationDay","1.0"
"#TrumpYourself","#VoterRegistrationDay","1.0"
"#TheDonald","#VoterRegistrationDay","1.0"
